R1_PINH1,85.27,64.13,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,103.63,40.22,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,58.83,11.63,0.00,2.2,RESC1005X40
R2-PINH,140.85,5.85,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,90.02,62.77,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,145.06,45.56,180.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,145.01,47.13,180.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,114.08,46.10,270.00,2K,RESC1005X40
R3,60.70,10.65,269.40,0.47,RESC1005X40
R4,61.08,15.82,0.00,100k,RESC1005X40
R5,37.20,50.67,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,7.97,100.25,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,37.68,29.81,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,36.17,29.66,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,66.95,27.13,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,23.08,104.68,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,44.07,104.55,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,89.48,52.73,270.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,59.08,104.41,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,68.41,27.16,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,19.56,104.51,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,139.72,11.46,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,58.28,10.36,180.00,,SJ
TP1,152.54,4.08,0.00,TPTP20R,TP20R
TP10,1.02,69.18,0.00,TPTP20R,TP20R
TP11,45.13,2.67,0.00,TPTP20R,TP20R
TP12,30.28,45.44,0.00,TPTP20R,TP20R
TP13,148.21,4.17,0.00,TPTP20R,TP20R
TP14,133.67,64.87,0.00,TPTP20R,TP20R
TP15,0.83,76.89,0.00,TPTP20R,TP20R
TP16,39.66,3.35,0.00,TPTP20R,TP20R
TP17,50.15,2.70,0.00,TPTP20R,TP20R
TP2,165.69,40.06,0.00,TPTP20R,TP20R
TP3,77.02,96.95,0.00,TPTP20R,TP20R
TP4,133.71,61.77,0.00,TPTP20R,TP20R
TP5,80.24,96.83,0.00,TPTP20R,TP20R
TP6,0.79,73.09,0.00,TPTP20R,TP20R
TP7,57.41,29.82,0.00,TPTP20R,TP20R
TP8,165.58,36.35,0.00,TPTP20R,TP20R
TP9,83.40,96.91,0.00,TPTP20R,TP20R
U1,41.94,57.18,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,14.79,55.91,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,82.58,57.16,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,125.17,52.69,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,115.58,49.56,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
